knljdkfl-1	UNASSIGNED
aihocgoe-1	eljpgaeb-1
akaikpnj-1	elincpmd-1
akfiehag-1	oedmklld-1
akaijagn-1	eliokpfc-1
aihjekob-1	cikmcghp-1
aihiiign-1	elijkllc-1
aihohhcg-1	aaaakcim-1
aihicekm-1	eliaaiap-1
aijhikgl-1	aaaehmfj-1
aijhmmcd-1	elhpmdbf-1
aijclabd-1	cilipnae-1
aijfamol-1	cilfkebp-1
aijepbji-1	cpalhfbl-1
aijdlmjo-1	elijbfhe-1
aijiiahd-1	elhplkko-1
akfipgkc-1	elkbeicp-1
akaghbnb-1	elkjhoid-1
akafjiog-1	elkjjkhi-1
ajogcjha-1	elkckpka-1
ajonldkj-1	elkdilji-1
ajogbfka-1	aaaicjlk-1
ajompbgj-1	cjchinpj-1
ajopcgob-1	cjcbmhdl-1
ajniallj-1	aaaigibb-1
ajnaocoa-1	aaaihplh-1
ajnaadap-1	cjaoegdm-1
ajomolio-1	cjcibjpa-1
ajokhddo-1	cjcibcdh-1
ajfddono-1	cobodgci-1
ajfdaloe-1	odjjjgal-1
ahfadbmp-1	odjkipel-1
ajfnbmia-1	cmgkgdja-1
ajfobglk-1	clndeoio-1
ajgbgbfi-1	clnedbce-1
ahnggdjb-1	aaalmjel-1
ahnaecce-1	aaandhpl-1
ajfbjedm-1	cmffpahn-1
ahnafbdf-1	aaanblda-1
ahndcbkm-1	cmhajafp-1
ajfmjahg-1	aaanikfa-1
ajfkidme-1	aaanjkek-1
ahpoemcd-1	aaanpgel-1
ajgefojj-1	aaaobefk-1
ajgcbkda-1	aaaooebd-1
ahpgofjp-1	aacgkcdg-1
ahmmgdgl-1	aabaabmd-1
ahnlcjbb-1	cmeildci-1
ahmlpoij-1	aababfjo-1
ahpdgaoa-1	cmodoaam-1
ajgdkkgp-1	aabaejie-1
ajgdkffg-1	aabanhhc-1
aiekjmlj-1	cmpcdeoi-1
ajneemhi-1	cmpeigga-1
ajelbbgi-1	aabbboge-1
ajekogpe-1	cljeeabp-1
ahppfbcc-1	cmodbpdf-1
ajeleaeg-1	cmoehonp-1
ajelkgck-1	cmphcilf-1
ahppdnnj-1	cmobcgjo-1
aiacakdl-1	cmpgmddn-1
aiikehko-1	cjbloege-1
ahlnmhdh-1	cmngmnhc-1
aiemfkon-1	aabdkgee-1
aieeoogk-1	aabdnhil-1
aiinhnmi-1	cpbhgmhe-1
aifainkg-1	aabedehb-1
ajnecbec-1	aabeioep-1
ajnfjhkd-1	aabenfcl-1
aihbhkeh-1	aabenjph-1
ajncnlhb-1	cjanmoli-1
aihchiga-1	cjagdhni-1
aihceamd-1	aabfceal-1
aiijncap-1	cjamocjj-1
ajoobcki-1	cjcihcfo-1
aiijegfg-1	cjcjfpph-1
acocpklg-1	aabgfejm-1
acobnbka-1	aabgkbfn-1
adakpgfa-1	cicmpjie-1
adebhicp-1	aabhdljl-1
adcolpgj-1	ciagmcbp-1
adcelkfn-1	cibelhmc-1
acppfpdo-1	cibiilhn-1
adcoaefe-1	cialopll-1
adcdcmmk-1	aabikljo-1
adcdhpcl-1	aabiladm-1
adclakah-1	aabjdegk-1
adcliibn-1	aabjhccf-1
adhhakli-1	aabjkani-1
addcpjjo-1	aabjkfep-1
addcajoi-1	aabjmlbc-1
adahgdlk-1	odhfpgep-1
adaglbcp-1	cgnibpkd-1
acolhfbm-1	cgnaffnb-1
adbgpjkc-1	cgmphopl-1
aconlccc-1	cgmpechb-1
adbdbgdp-1	cgnhdmop-1
adbpkgbm-1	cgmcfgkp-1
adbcmbfl-1	aabpibll-1
adbeiala-1	aabpmpfb-1
adbcgngc-1	aabponpf-1
adbefgkb-1	odhffihl-1
adbccblg-1	cgmjkdnb-1
acpbhjon-1	aacbedaa-1
adapalkh-1	ciccnmfd-1
acpcdied-1	aacbihmk-1
acopmidk-1	aacbnjln-1
ahjghijm-1	aacmlpnj-1
adahnboc-1	cibikgaa-1
ahiogeji-1	aacchmeb-1
adabdbhe-1	cibkacff-1
acpncnke-1	cmlkfeon-1
adabbpjm-1	aaceigkg-1
adahadci-1	cgnjljme-1
acpmiong-1	odjelija-1
adaheeed-1	aacgbjdp-1
ahnmehcp-1	aacgighj-1
ahnnepan-1	aacgijfk-1
ahpiaemm-1	aacgjmnf-1
ahljjbim-1	aacglpdn-1
ahjmkhgc-1	cmdmihkp-1
ahjpnncn-1	aachheea-1
ahldedmi-1	cmdpbbjh-1
ahphbfen-1	cmpajcfm-1
ahpahdng-1	cmpbpgmn-1
ahlcgpah-1	odjokmab-1
ahilfmid-1	cmlphcjk-1
ahgdigok-1	aacjnhmj-1
ahgcnojj-1	aacjpjap-1
ahfgbilp-1	aackbbpi-1
ahfbnkgh-1	cmhechmp-1
ahghieih-1	aackfadg-1
ahggndkn-1	aackjamn-1
ahjcfjeh-1	cmlbkpci-1
ahiibikl-1	aacladjg-1
ahkbgikh-1	cmmdbfil-1
ahikomcm-1	aacldchg-1
ahiloilc-1	cmlphfdh-1
ahilgfch-1	aaclgjjp-1
ahedcbfg-1	cmhlmocf-1
ahenmenl-1	aaclidbj-1
aheobkbj-1	aacljefp-1
ahiobead-1	aacllonn-1
ahkgjdfp-1	cmmoeiln-1
ahjhflel-1	cmmodiln-1
ahkhemjo-1	cmlpnmem-1
ahiobkad-1	cmlpnlni-1
aheobbci-1	aacmmlgk-1
ahhgmbhl-1	cmhhdbdg-1
ahhgepek-1	aacnnigp-1
ahkibiph-1	aacpbcmd-1
ahjhbopo-1	aacnphkm-1
ahkobhch-1	cmcokiio-1
ahkpghjj-1	aacofick-1
ahkofhda-1	aacoifim-1
ahkofcpe-1	aacoihga-1
ahjkmhnp-1	cmncinlh-1
ahjhjbdg-1	cmmoihfd-1
ahjenonb-1	cmnbanmn-1
ahoibfge-1	cmicbdmj-1
ahehgkkd-1	aacpemoi-1
ahkmmbep-1	cmlaaoie-1
ahoecomj-1	aacpgfmi-1
ahefnhfp-1	aacpkjae-1
aijeimai-1	cpamkoaa-1
aijegenp-1	cpaibbcl-1
aijpoaep-1	cpammpip-1
aijjfglp-1	cpahdkcg-1
aijpdkai-1	commccge-1
aijldloc-1	copklddp-1
aijklocb-1	copkopgn-1
aiiobhim-1	aadamlcd-1
aijimlij-1	aadannne-1
aidpibch-1	cpbepecj-1
aidlkghm-1	cpbbkpbo-1
ahmdlclk-1	aaddbeag-1
ahmgecie-1	cmnicfge-1
ahpklego-1	cmpkdncj-1
ahpmgnlk-1	cmolalfc-1
ahmjdehj-1	cpbmknne-1
aiejenpi-1	cpcaolbm-1
aidlehag-1	cpbaodbb-1
aieggpco-1	odjoomim-1
aiegalgf-1	aadehcbb-1
aidlapng-1	aadehimj-1
aiecccea-1	aadejhfl-1
